date,natural rate,real unemployment benefits,labor-productivity growth,real minimum wage,labor force growth,real 10-year treasury yield,sectoral shifts(%),real hourly wage,time trend,pers_cnsmp
01-10-1960,6.1,7.896482304,-0.013821064,1,-0.001567485,13.07563025,0.014062134,53.024,1,17.255
01-11-1960,6.100522726,7.934454741,-0.00838283,1,-0.003343061,13.19677636,0.024560781,53.00992961,2,17.301
01-12-1960,6.714999806,7.92333748,0.001977163,1,-0.004058487,12.88158336,0.056743654,53.14543267,3,17.295
01-01-1961,6.600522726,7.936679061,0.002088703,1,-0.001097838,12.86863271,0.030253225,53.37837543,4,17.3
01-02-1961,6.969208974,7.952802203,0.005337781,1,-0.002347112,12.66756032,0.019527869,53.6566242,5,17.317
01-03-1961,6.900522726,7.972563145,0.001715017,1,0.001904513,12.53351206,0.018889394,53.92804525,6,17.322
01-04-1961,7.023418142,8.056332248,0.013343776,1,-0.000596358,12.68030862,0.027923716,54.14050486,7,17.346
01-05-1961,7.123418142,8.193436911,0.002655958,1,0.002964924,12.43297587,0.018185353,54.25706174,8,17.369
01-06-1961,6.854731894,8.198613225,0.000319859,1,0.00355111,13.00268097,0.017697576,54.30675243,9,17.395
01-07-1961,7.023418142,8.045521389,0.00853446,1,0.002704856,13.10160428,0.015064649,54.33651966,10,17.422
01-08-1961,6.508941062,8.051609258,0.005748138,1,0.003233376,13.49365397,0.012087583,54.38873475,11,17.44
01-09-1961,6.723418142,7.95624629,0.009621232,1.15,0.00165752,13.27551701,0.015131462,54.48508018,12,17.475
01-10-1961,6.454731894,7.927226594,0.002672553,1.15,0.002463779,13.07538359,0.009815362,54.64138891,13,17.481
01-11-1961,6.008941062,7.935877262,0.008291243,1.15,0.004035068,13.14209473,0.014614102,54.8625632,14,17.483
01-12-1961,5.97762731,7.934564488,0.009382772,1.15,0.002374776,13.52882373,0.007102354,55.10195769,15,17.499
01-01-1962,5.754731894,7.95681655,0.002313072,1.15,0.00034626,13.58189081,0.02970566,55.2977455,16,17.519
01-02-1962,5.431836478,7.978330683,-0.002137006,1.15,0.005410723,13.41746928,0.032996308,55.40292359,17,17.548
01-03-1962,5.623418142,7.96350612,0.000545256,1.15,0.00157643,13.02618495,0.018631132,55.44336125,18,17.589
01-04-1962,5.600522726,7.905389447,0.003677511,1.15,0.005915875,12.71102284,0.034491652,55.46728006,19,17.593
01-05-1962,5.47762731,7.850928119,-0.000599104,1.15,0.000467609,12.79761905,0.013971783,55.51570501,20,17.617
01-06-1962,5.500522726,7.856851267,0.006038141,1.15,0.000287625,12.94273419,0.033559245,55.59275948,21,17.649
01-07-1962,5.37762731,7.829143637,0.006098787,1.15,0.001833082,13.26935804,0.026571957,55.69078056,22,17.664
01-08-1962,5.769208974,7.777609682,-0.010133153,1.15,0.001650343,13.14398943,0.007154477,55.80279935,23,17.667
01-09-1962,5.57762731,7.819940948,-0.006454316,1.15,0.002507253,13.0834977,0.005093855,55.92558163,24,17.702
01-10-1962,5.354731894,7.861963028,0.005880209,1.15,0.001125442,12.9361422,0.009326088,56.05713505,25,17.701
01-11-1962,5.769208974,7.805476824,0.003640303,1.15,0.000267661,12.90322581,0.013928752,56.19416323,26,17.713
01-12-1962,5.454731894,7.801081889,0.004249692,1.15,-0.0004995,12.70572745,0.015811358,56.3261022,27,17.718
01-01-1963,5.746313558,7.823944726,-0.002230051,1.15,0.001552795,12.58212878,0.01373991,56.43987267,28,17.753
01-02-1963,5.946313558,7.783165386,5.11E-05,1.15,0.002049363,12.86089239,0.015958611,56.52481726,29,17.773
01-03-1963,5.654731894,7.789348976,-2.53E-05,1.15,0.001600569,12.88102262,0.011935221,56.58436152,30,17.783
01-04-1963,5.700522726,7.794516335,0.00210495,1.15,0.004616477,13.02493438,0.028681405,56.6270032,31,17.805
01-05-1963,5.946313558,7.75435928,0.004620079,1.15,0.000636267,12.88102262,0.018677535,56.66403407,32,17.837
01-06-1963,5.531836478,7.809683234,0.007694561,1.15,0.000759503,13.0349559,0.006823722,56.72363667,33,17.868
01-07-1963,5.600522726,7.754735569,-0.001040605,1.15,0.002382675,13.09872923,0.012214982,56.84032266,34,17.884
